部番,部品名,CADファイル名,部品番号,中心X,中心Y,中心Z,長さX,長さY,長さZ,Xmin,Xmax,Ymin,Ymax,Zmin,Zmax,色番号,重量,工具番号,工具名,質感,特徴(1:ねじ、2:O、Cﾘﾝｸﾞ、3:Eﾘﾝｸﾞ、4:ばね、5:ﾅｯﾄ),OK
9,,,,,,,,,,,,,,,,,,,,,,
1,lego09,0001_lego09.stl,1,0,4,-4,48,16,4.8,-24,24,-8,8,-2.4,2.4,2,0,-12,0,3,0,1
2,lego09,0002_lego09.stl,2,-16,3.99,1.6,16,15.98,9.6,-8,8,-7.99,7.99,-4.8,4.8,3,0,-12,0,3,0,1
3,lego09,0003_lego09.stl,3,8.99,3.99,6.39,17.98,15.98,19.18,-8.99,8.99,-7.99,7.99,-9.59,9.59,4,0,-10,0,3,0,1
4,lego09,0004_lego09.stl,4,-16,3.99,-12,16,35.18,14.4,-8,8,-17.59,17.59,-7.2,7.2,5,0,-12,0,3,0,1
5,lego09,0005_lego09.stl,5,15.99,3.99,-12,16.02,35.18,14.4,-8.01,8.01,-17.59,17.59,-7.2,7.2,6,0,-12,0,3,0,1
6,lego09,0006_lego09.stl,6,-16,22.39,-15,20,11.22,20,-10,10,-5.61,5.61,-10,10,7,0,-11,0,3,0,1
7,lego09,0007_lego09.stl,7,-16,-14.4,-15,20,11.2,20,-10,10,-5.6,5.6,-10,10,8,0,-11,0,3,0,1
8,lego09,0008_lego09.stl,8,16,22.39,-15,20,11.22,20,-10,10,-5.61,5.61,-10,10,9,0,-12,0,3,0,1
9,lego09,0009_lego09.stl,9,16,-14.4,-15,20,11.2,20,-10,10,-5.6,5.6,-10,10,10,0,-10,0,3,0,1
