製品名,Eモダン,,,,,,,,,,,,,,,
組付け数,459,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
組付け番号,部品1,部品2,組立部品,部品非対称,位置決め複数,視認性・X+,視認性・Z+,視認性・親子逆・X+,視認性・親子逆・Z+,接触有効空間（可）,接触有効空間（不可）,接触点,特殊組付け,方向注意,組付け力,組付け不可
1,1,59,42,0,0,0,1,0,0,0,0,1,0,0,0,0
2,1,166,139,0,0,0,1,0,0,0,0,1,0,0,0,0
3,1,163,138,0,0,0,1,0,0,0,0,1,0,0,0,0
4,1,182,172,0,0,0,1,0,0,0,0,1,0,0,0,0
5,1,51,32,0,0,0,1,0,0,0,0,1,0,0,0,0
6,1,58,41,0,0,0,1,0,0,0,0,1,0,0,0,0
7,1,161,140,0,0,0,1,0,0,0,0,1,0,0,0,0
8,1,133,102,0,0,0,1,0,0,0,0,1,0,0,0,0
9,1,215,199,0,0,0,1,0,0,0,0,1,0,0,0,0
10,1,101,73,0,0,0,1,0,0,0,0,1,0,0,0,0
11,1,72,54,0,0,0,1,0,0,0,0,1,0,0,0,0
12,1,136,107,0,0,0,1,0,0,0,0,1,0,0,0,0
13,1,137,106,0,0,0,1,0,0,0,0,1,0,0,0,0
14,1,30,25,0,0,0,1,0,0,0,0,1,0,0,0,0
15,1,34,23,0,0,0,1,0,0,0,0,1,0,0,0,0
16,1,36,28,0,0,0,1,0,0,0,0,1,0,0,0,0
17,1,20,17,0,0,0,1,0,0,0,0,1,0,0,0,0
18,1,16,15,0,0,0,1,0,0,0,0,1,0,0,0,0
19,1,35,26,0,0,0,1,0,0,0,0,1,0,0,0,0
20,1,13,234,0,0,0,1,0,0,0,0,1,0,0,0,0
21,1,21,18,0,0,0,1,0,0,0,0,1,0,0,0,0
22,1,27,19,0,0,0,1,0,0,0,0,1,0,0,0,0
23,2,90,68,1,1,0,1,0,0,0,0,1,0,0,0,0
24,2,188,174,1,1,0,1,0,0,0,0,1,0,0,0,0
25,2,91,67,1,1,0,1,0,0,0,0,1,0,0,0,0
26,2,123,80,1,1,0,1,0,0,0,0,1,0,0,0,0
27,2,124,99,1,1,0,1,0,0,0,0,1,0,0,0,0
28,2,130,98,1,1,0,1,0,0,0,0,1,0,0,0,0
29,2,201,184,1,1,0,1,0,0,0,0,1,0,0,0,0
30,2,153,131,1,1,0,1,0,0,0,0,1,0,0,0,0
31,2,213,194,1,1,0,1,0,0,0,0,1,0,0,0,0
32,2,212,192,1,1,0,1,0,0,0,0,1,0,0,0,0
33,2,66,43,1,1,0,1,0,0,0,0,1,0,0,0,0
34,2,187,173,1,1,0,1,0,0,0,0,1,0,0,0,0
35,2,233,227,1,1,0,0,0,0,0,0,0,0,0,0,0
36,2,56,40,1,1,0,1,0,0,0,0,1,0,0,0,0
37,2,61,44,1,1,0,1,0,0,0,0,1,0,0,0,0
38,2,223,206,1,1,0,1,0,0,0,0,1,0,0,0,0
39,2,191,165,1,1,0,1,0,0,0,0,1,0,0,0,0
40,2,84,64,1,1,0,1,0,0,0,0,1,0,0,0,0
41,2,95,65,1,1,0,1,0,0,0,0,1,0,0,0,0
42,2,171,143,1,1,0,1,0,0,0,0,1,0,0,0,0
43,2,39,24,1,1,0,1,0,0,0,0,1,0,0,0,0
44,3,196,180,0,0,0,1,0,0,0,0,0,0,0,0,0
45,3,144,122,0,0,0,1,0,0,0,0,0,0,0,0,0
46,3,186,167,0,0,0,1,0,0,0,0,0,0,0,0,0
47,3,168,148,0,0,0,1,0,0,0,0,0,0,0,0,0
48,3,170,158,0,0,0,1,0,0,0,0,0,0,0,0,0
49,3,189,169,0,0,0,1,0,0,0,0,0,0,0,0,0
50,3,154,115,0,0,0,1,0,0,0,0,0,0,0,0,0
51,3,159,128,0,0,0,1,0,0,0,0,0,0,0,0,0
52,3,78,52,0,0,0,1,0,0,0,0,0,0,0,0,0
53,3,69,47,0,0,0,1,0,0,0,0,0,0,0,0,0
54,3,85,57,0,0,0,1,0,0,0,0,0,0,0,0,0
55,3,75,55,0,0,0,1,0,0,0,0,0,0,0,0,0
56,3,88,62,0,0,0,1,0,0,0,0,0,0,0,0,0
57,3,45,29,0,0,0,1,0,0,0,0,0,0,0,0,0
58,3,33,22,0,0,0,1,0,0,0,0,0,0,0,0,0
59,3,48,31,0,0,0,1,0,0,0,0,0,0,0,0,0
60,3,50,38,0,0,0,1,0,0,0,0,0,0,0,0,0
61,3,49,37,0,0,0,1,0,0,0,0,0,0,0,0,0
62,3,121,97,0,0,0,1,0,0,0,0,0,0,0,0,0
63,3,116,92,0,0,0,1,0,0,0,0,0,0,0,0,0
64,3,127,94,0,0,0,1,0,0,0,0,0,0,0,0,0
65,3,141,117,0,0,0,1,0,0,0,0,0,0,0,0,0
66,3,118,93,0,0,0,1,0,0,0,0,0,0,0,0,0
67,3,81,60,0,0,0,1,0,0,0,0,0,0,0,0,0
68,3,74,53,0,0,0,1,0,0,0,0,0,0,0,0,0
69,3,108,77,0,0,0,1,0,0,0,0,0,0,0,0,0
70,3,112,87,0,0,0,1,0,0,0,0,0,0,0,0,0
71,3,110,86,0,0,0,1,0,0,0,0,0,0,0,0,0
72,3,211,195,0,0,0,1,0,0,0,0,0,0,0,0,0
73,3,226,214,0,0,0,1,0,0,0,0,0,0,0,0,0
74,3,210,197,0,0,0,1,0,0,0,0,0,0,0,0,0
75,3,203,190,0,0,0,1,0,0,0,0,0,0,0,0,0
76,4,60,42,0,0,0,1,0,0,0,0,0,0,1,0,0
77,4,53,41,0,0,0,1,0,0,0,0,0,0,1,0,0
78,4,57,36,0,0,0,1,0,0,0,0,0,0,1,0,0
79,4,62,40,0,0,0,1,0,0,0,0,0,0,1,0,0
80,4,55,32,0,0,0,1,0,0,0,0,0,0,1,0,0
81,4,167,155,0,0,0,1,0,0,0,0,0,0,1,0,0
82,4,93,54,0,0,0,1,0,0,0,0,0,0,1,0,0
83,4,94,67,0,0,0,1,0,0,0,0,0,0,1,0,0
84,4,22,18,0,0,0,1,0,0,0,0,0,0,1,0,0
85,4,169,151,0,0,0,1,0,0,0,0,0,0,1,0,0
86,4,180,160,0,0,0,1,0,0,0,0,0,0,1,0,0
87,4,52,34,0,0,0,1,0,0,0,0,0,0,1,0,0
88,4,122,80,0,0,0,1,0,0,0,0,0,0,1,0,0
89,4,117,72,0,0,0,1,0,0,0,0,0,0,1,0,0
90,4,148,126,0,0,0,1,0,0,0,0,0,0,1,0,0
91,4,214,198,0,0,0,1,0,0,0,0,0,0,1,0,0
92,4,128,98,0,0,0,1,0,0,0,0,0,0,1,0,0
93,4,115,99,0,0,0,1,0,0,0,0,0,0,1,0,0
94,4,31,25,0,0,0,1,0,0,0,0,0,0,1,0,0
95,4,29,21,0,0,0,1,0,0,0,0,0,0,1,0,0
96,4,47,30,0,0,0,1,0,0,0,0,0,0,1,0,0
97,4,158,131,0,0,0,1,0,0,0,0,0,0,1,0,0
98,4,38,28,0,0,0,1,0,0,0,0,0,0,1,0,0
99,4,37,23,0,0,0,1,0,0,0,0,0,0,1,0,0
100,4,97,68,0,0,0,1,0,0,0,0,0,0,1,0,0
101,4,197,181,0,0,0,1,0,0,0,0,0,0,1,0,0
102,4,86,58,0,0,0,1,0,0,0,0,0,0,1,0,0
103,4,77,51,0,0,0,1,0,0,0,0,0,0,1,0,0
104,4,195,179,0,0,0,1,0,0,0,0,0,0,1,0,0
105,4,87,59,0,0,0,1,0,0,0,0,0,0,1,0,0
106,4,92,65,0,0,0,1,0,0,0,0,0,0,1,0,0
107,4,190,177,0,0,0,1,0,0,0,0,0,0,1,0,0
108,5,63,39,0,0,0,1,0,0,0,0,0,1,0,1,0
109,5,202,188,0,0,0,1,0,0,0,0,0,1,0,1,0
110,5,89,66,0,0,0,1,0,0,0,0,0,1,0,1,0
111,5,176,153,0,0,0,1,0,0,0,0,0,1,0,1,0
112,5,205,191,0,0,0,1,0,0,0,0,0,1,0,1,0
113,5,156,130,0,0,0,1,0,0,0,0,0,1,0,1,0
114,5,183,171,0,0,0,1,0,0,0,0,0,1,0,1,0
115,5,149,123,0,0,0,1,0,0,0,0,0,1,0,1,0
116,5,152,124,0,0,0,1,0,0,0,0,0,1,0,1,0
117,5,82,61,0,0,0,1,0,0,0,0,0,1,0,1,0
