組付数,459,,,,,,,,
組付番号,親部品,子部品,組立部品,ASP,,,０度方向,組付方向,接触線番号
,,,,ASP-X,ASP-Y,ASP-Z,,,
1,59,1,42,0,90,1040,右上,上,1
2,166,1,139,0,90,1040,右上,上,1
3,163,1,138,0,90,1040,右上,上,1
4,182,1,172,0,90,1040,右上,上,1
5,51,1,32,0,90,1040,右上,上,1
6,58,1,41,0,90,1040,右上,上,1
7,161,1,140,0,90,1040,右上,上,1
8,133,1,102,0,90,1040,右上,上,1
9,215,1,199,0,90,1040,右上,上,1
10,101,1,73,0,90,1040,右上,上,1
11,72,1,54,0,90,1040,右上,上,1
12,136,1,107,0,90,1040,右上,上,1
13,137,1,106,0,90,1040,右上,上,1
14,30,1,25,0,90,1040,右上,上,1
15,34,1,23,0,90,1040,右上,上,1
16,36,1,28,0,90,1040,右上,上,1
17,20,1,17,0,90,1040,右上,上,1
18,16,1,15,0,90,1040,右上,上,1
19,35,1,26,0,90,1040,右上,上,1
20,13,1,234,0,90,1040,右上,上,1
21,21,1,18,0,90,1040,右上,上,1
22,27,1,19,0,90,1040,右上,上,1
23,90,2,68,0,90,1040,奥上,上,4
24,188,2,174,0,90,1040,奥上,上,4
25,91,2,67,0,90,1040,奥上,上,4
26,123,2,80,0,90,1040,奥上,上,4
27,124,2,99,0,90,1040,奥上,上,4
28,130,2,98,0,90,1040,奥上,上,4
29,201,2,184,0,90,1040,奥上,上,4
30,153,2,131,0,90,1040,奥上,上,4
31,213,2,194,0,90,1040,奥上,上,4
32,212,2,192,0,90,1040,奥上,上,4
33,66,2,43,0,90,1040,奥上,上,4
34,187,2,173,0,90,1040,奥上,上,4
35,2,233,227,0,90,1040,前上,上,2
36,56,2,40,0,90,1040,奥上,上,4
37,61,2,44,0,90,1040,奥上,上,4
38,223,2,206,0,90,1040,奥上,上,4
39,191,2,165,0,90,1040,奥上,上,4
40,84,2,64,0,90,1040,奥上,上,4
41,95,2,65,0,90,1040,奥上,上,4
42,171,2,143,0,90,1040,奥上,上,4
43,39,2,24,0,90,1040,奥上,上,4
44,196,3,180,0,90,1040,0,上,0
45,144,3,122,0,90,1040,0,上,0
46,186,3,167,0,90,1040,0,上,0
47,168,3,148,0,90,1040,0,上,0
48,170,3,158,0,90,1040,0,上,0
49,189,3,169,0,90,1040,0,上,0
50,154,3,115,0,90,1040,0,上,0
51,159,3,128,0,90,1040,0,上,0
52,78,3,52,0,90,1040,0,上,0
53,69,3,47,0,90,1040,0,上,0
54,85,3,57,0,90,1040,0,上,0
55,75,3,55,0,90,1040,0,上,0
56,88,3,62,0,90,1040,0,上,0
57,45,3,29,0,90,1040,0,上,0
58,33,3,22,0,90,1040,0,上,0
59,48,3,31,0,90,1040,0,上,0
60,50,3,38,0,90,1040,0,上,0
