組付番号,存在フラグ,部品1,部品2,組立部品,部品1の構成部品,,,,,,,,,,,,,,部品2の構成部品,,,,,,,,,,,,,,組立部品の構成部品,,,,,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1,1,1,59,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,5,6,7,8,0,0,11,0,13,14,1,2,3,4,5,6,7,8,0,0,11,0,13,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,1,166,139,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,6,0,0,0,0,11,0,13,14,1,2,0,0,5,6,0,0,0,0,11,0,13,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,1,163,138,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,9,0,11,0,13,14,1,2,0,0,5,0,0,0,9,0,11,0,13,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,1,182,172,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,11,0,13,14,1,2,0,0,5,0,0,0,0,0,11,0,13,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,1,51,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,5,0,7,8,0,0,11,12,13,14,1,2,3,4,5,0,7,8,0,0,11,12,13,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,1,58,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,5,0,7,8,9,0,11,0,13,14,1,2,3,4,5,0,7,8,9,0,11,0,13,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,1,161,140,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,11,12,13,14,1,2,0,0,5,0,0,0,0,0,11,12,13,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,1,133,102,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,9,0,11,12,13,14,1,2,0,0,5,0,0,0,9,0,11,12,13,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,1,215,199,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,11,0,13,0,1,2,0,0,5,0,0,0,0,0,11,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,1,101,73,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,6,0,0,9,0,11,12,13,14,1,2,0,0,5,6,0,0,9,0,11,12,13,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
