両手2部品組付け
存在フラグ,接触線番号,組付け番号,親部品,子部品,親子フラグ,,存在フラグ,接触線番号,組付け番号,親部品,子部品,親子フラグ
大物組付け
存在フラグ,接触線番号,組付け番号,親部品,子部品,親子フラグ,
要援助品組付け
存在フラグ,接触線番号,組付け番号,親部品,子部品,
1,4,23,2,90,1
1,4,24,2,188,1
1,4,25,2,91,1
1,4,26,2,123,1
1,4,27,2,124,1
1,4,28,2,130,1
1,4,29,2,201,1
1,4,30,2,153,1
1,4,31,2,213,1
1,4,32,2,212,1
1,4,33,2,66,1
1,4,34,2,187,1
1,2,35,2,233,1
1,4,36,2,56,1
1,4,37,2,61,1
1,4,38,2,223,1
1,4,39,2,191,1
1,4,40,2,84,1
1,4,41,2,95,1
1,4,42,2,171,1
1,4,43,2,39,1
1,0,44,3,196,1
1,0,45,3,144,1
1,0,46,3,186,1
1,0,47,3,168,1
1,0,48,3,170,1
1,0,49,3,189,1
1,0,50,3,154,1
1,0,51,3,159,1
1,0,52,3,78,1
1,0,53,3,69,1
1,0,54,3,85,1
1,0,55,3,75,1
1,0,56,3,88,1
1,0,57,3,45,1
1,0,58,3,33,1
1,0,59,3,48,1
1,0,60,3,50,1
1,0,61,3,49,1
1,0,62,3,121,1
1,0,63,3,116,1
1,0,64,3,127,1
1,0,65,3,141,1
1,0,66,3,118,1
1,0,67,3,81,1
1,0,68,3,74,1
1,0,69,3,108,1
1,0,70,3,112,1
1,0,71,3,110,1
1,0,72,3,211,1
1,0,73,3,226,1
1,0,74,3,210,1
1,0,75,3,203,1
1,7,76,4,60,1
1,7,77,4,53,1
1,7,78,4,57,1
1,7,79,4,62,1
1,7,80,4,55,1
1,7,81,4,167,1
1,7,82,4,93,1
1,7,83,4,94,1
1,7,84,4,22,1
1,7,85,4,169,1
1,7,86,4,180,1
1,7,87,4,52,1
1,7,88,4,122,1
1,7,89,4,117,1
1,7,90,4,148,1
1,7,91,4,214,1
1,7,92,4,128,1
1,7,93,4,115,1
1,7,94,4,31,1
1,7,95,4,29,1
1,7,96,4,47,1
1,7,97,4,158,1
1,7,98,4,38,1
1,7,99,4,37,1
1,7,100,4,97,1
1,7,101,4,197,1
1,7,102,4,86,1
1,7,103,4,77,1
1,7,104,4,195,1
1,7,105,4,87,1
1,7,106,4,92,1
1,7,107,4,190,1
1,9,108,5,63,1
1,9,109,5,202,1
1,9,110,5,89,1
1,9,111,5,176,1
1,9,112,5,205,1
1,9,113,5,156,1
1,9,114,5,183,1
1,9,115,5,149,1
1,9,116,5,152,1
1,9,117,5,82,1
1,9,118,5,220,1
1,9,119,5,216,1
1,9,120,5,229,1
1,9,121,5,200,1
1,9,122,5,114,1
1,9,123,5,219,1
1,9,125,5,129,1
1,9,126,5,120,1
1,9,127,5,125,1
1,9,128,5,83,1
1,12,162,146,7,0
1,12,163,150,7,0
1,12,164,147,7,0
1,12,165,145,7,0
1,12,166,134,7,0
1,12,167,46,7,0
1,12,168,142,7,0
1,12,169,135,7,0
1,12,170,207,7,0
1,12,171,76,7,0
1,12,172,231,7,0
1,12,173,162,7,0
1,12,174,71,7,0
1,12,175,70,7,0
1,12,176,79,7,0
1,12,177,217,7,0
1,12,178,221,7,0
1,12,179,224,7,0
1,12,180,164,7,0
1,12,181,175,7,0
1,12,182,178,7,0
1,12,183,104,7,0
1,12,184,193,7,0
